Game Name,Emotion,Game link,
Slither.io,happy,http://slither.io/,
Agar.io,happy,https://agar.io/,
Krunker.io,happy,https://krunker.io/,
Shell Shockers,happy,https://shellshock.io/,
Zombs Royale,happy,https://zombsroyale.io/,
Tanki Online,happy,https://tankionline.com/,
Paper.io 2,happy,https://paper-io.com/,
Worms Zone,happy,https://wormszone.com/,
Little Big Snake,happy,https://littlebigsnake.com/,
Deeeep.io,happy,https://deeeep.io/,
8 Ball Pool,happy,https://www.miniclip.com/games/8-ball-pool-multiplayer/en/,
Among Us,happy,https://innersloth.com/gameAmongUs.php,
Angry Birds,happy,https://www.angrybirds.com/,
Asphalt 9,happy,https://www.gameloft.com/en/game/asphalt-9,
Badland,happy,https://badlandgame.com/,
Battlefield Online,happy,https://battlefieldonline.com/,
Bloons TD 6,happy,https://ninjakiwi.com/Games/Mobile/Bloons-TD-6.html,
Call of Duty: Warzone,happy,https://www.callofduty.com/warzone,
Candy Crush Saga,happy,https://king.com/game/candycrush,
Chess.com,happy,https://www.chess.com/,
PUBG Mobile,happy,https://www.pubgmobile.com/,
bubble shooter,happy,https://www.bubbleshooter.net/,
Counter-Strike,happy,https://store.steampowered.com/app/10/CounterStrike/,
Crossy Road,happy,https://crossyroad.fandom.com/wiki/Crossy_Road,
Cyber Hunter,happy,https://www.cyberhunter.com/,
Dead by Daylight,happy,https://deadbydaylight.com/,
Diablo Immortal,happy,https://diabloimmortal.blizzard.com/,
Doodle Jump,happy,https://poki.com/en/g/doodle-jump,
Dota 2,happy,https://www.dota2.com/play,
Dragon City,happy,https://www.dragoncity.com/,
Dream League Soccer,happy,https://www.firsttouchgames.com/games/dream-league-soccer/,
Elden Ring,happy,https://en.bandainamcoent.eu/elden-ring/elden-ring,
Fall Guys,happy,https://fallguys.com/,
FarmVille,happy,https://www.zynga.com/games/farmville/,
Final Fantasy XIV,Sad,https://www.finalfantasyxiv.com/,
Flappy Bird,Sad,https://flappybird.io/,
For Honor,Sad,https://forhonor.ubisoft.com/,
Forza Horizon 5,Sad,https://forzamotorsport.net/en-us/forza-horizon-5,
Free Fire,Sad,https://ff.garena.com,
Sad+A60,Sad,,
Geometry Dash,Sad,https://geometry-dash.io/,
GTA Online,Sad,https://www.rockstargames.com/gta-online,
Hearthstone,Sad,https://playhearthstone.com,
Hill Climb Racing,Sad,https://www.earngames.com/game/hill-climb-racing,
Hitman Sniper,Sad,https://play.google.com/store/apps/details?id=com.squareenixmontreal.hitmansniperandroid,
Just Cause 4,Sad,https://store.steampowered.com/app/517630/Just_Cause_4/,
Ludo King,Sad,https://www.ludoking.com,
Mafia City,Sad,https://www.yottagames.com/en/mafiacity,
Mario Kart Tour,Sad,https://mariokarttour.com,
Mortal Kombat Mobile,Sad,https://play.google.com/store/apps/details?id=com.wb.goog.mkx,
NBA 2K Mobile,Sad,https://nba.2k.com/mobile/,
Need for Speed: No Limits,Sad,https://play.google.com/store/apps/details?id=com.ea.game.nfs14_row,
Overcooked! 2,Sad,https://www.team17.com/games/overcooked-2/,
Pac-Man,Sad,https://play.google.com/store/apps/details?id=com.namcobandaigames.pacmantournaments,
Plague Inc.,Sad,https://play.google.com/store/apps/details?id=com.miniclip.plagueinc,
Plants vs Zombies,Sad,https://www.ea.com/ea-studios/popcap/plants-vs-zombies,
Pokemon Go,Sad,https://apps.apple.com/app/pokemon-go/id1094591345,
PUBG Mobile,Sad,https://pubgmobile.com,
Resident Evil 4,Sad,,
Roblox,Sad,https://www.roblox.com,
Rocket League,Sad,https://www.rocketleague.com,
Sims 4,Sad,https://www.ea.com/games/the-sims/the-sims-4,
Sonic Dash,Sad,https://play.google.com/store/apps/details?id=com.sega.sonicdash,
Spider-Man: Miles Morales,Sad,https://www.playstation.com/en-us/games/marvels-spider-man-miles-morales/,
Stardew Valley,Sad,https://www.stardewvalley.net,
Subway Surfers,Sad,https://sybogames.com/games/subway-surfers,
Super Mario Run,Sad,https://supermariorun.com,
Tekken 7,Sad,https://www.bandainamcoent.com/games/tekken-7,
Temple Run,Sad,https://play.google.com/store/apps/details?id=com.imangi.templerun,
ludo king,Sad,https://www.ludoking.com,
The Legend of Zelda: BOTW,Angry,https://www.zelda.com/breath-of-the-wild,
The Witcher 3,Angry,https://thewitcher.com/en/witcher3,
Tic-Tac-Toe,Angry,https://play.google.com/store/apps/details?id=com.ttt.tictactoe,
Tomb Raider,Angry,https://tombraider.square-enix-games.com/en-us,
Valorant,Angry,https://playvalorant.com,
Warframe,Angry,https://www.warframe.com,
World of Tanks,Angry,https://worldoftanks.com,
World of Warcraft,Angry,https://worldofwarcraft.com,
XCOM 2,Angry,https://xcom.com,
Yu-Gi-Oh! Duel Links,Angry,https://www.konami.com/yugioh/duel_links/en/,
Zelda: Tears of the Kingdom,Angry,https://www.zelda.com/tears-of-the-kingdom,
Zombie Tsunami,Angry,https://play.google.com/store/apps/details?id=net.mobigame.zombietsunami,
Halo Infinite,Angry,https://www.halowaypoint.com/halo-infinite,
Resident Evil Village,Angry,https://www.residentevil.com/village,
Horizon Zero Dawn,Angry,https://www.playstation.com/en-us/games/horizon-zero-dawn,
Metal Gear Solid V,Angry,https://www.konami.com/mg/mgs5,
Half-Life: Alyx,Angry,https://www.half-life.com/en/alyx,
Cyberpunk 2077,Angry,https://www.cyberpunk.net,
League of Legends,Angry,https://www.leagueoflegends.com,
Moto Race Go,Angry,https://play.google.com/store/apps/details?id=com.xgame.trafficmoto,
Gran Turismo 7,Angry,https://www.gran-turismo.com/,
Battlefield 2042,Angry,https://www.ea.com/games/battlefield/battlefield-2042,
Minecraft,Angry,https://www.minecraft.net/en-us/play,
Among Trees,Angry,https://www.amongtreesgame.com/,
Slay the Spire,Angry,https://www.megacrit.com/,
