Song Name,Movie,Category,Song Link
Chirugali Veechene,Gudumba Shankar,Happy,https://www.youtube.com/watch?v=1zjhZUJwO40
Aaradugula Bullet,Attarintiki Daredi,Happy,https://www.youtube.com/watch?v=Qxni88zBfkA
Yevandoi Nani Garu,MCA,Happy,https://www.youtube.com/watch?v=y9gUpVWcELU
Happy,Pharrell Williams,Happy,https://www.youtube.com/watch?v=ZbZSe6N_BXs
Can't Stop the Feeling,Justin Timberlake,Happy,https://www.youtube.com/watch?v=ru0K8uYEZWw
Uptown Funk,Mark Ronson ft. Bruno Mars,Happy,https://www.youtube.com/watch?v=OPf0YbXqDm0
Shake It Off,Taylor Swift,Happy,https://www.youtube.com/watch?v=nfWlot6h_JM
Dynamite,BTS,Happy,https://www.youtube.com/watch?v=J8fQMq4T8Yg
Inka Edo,Darling,Happy,https://www.youtube.com/watch?v=rC0YWZ0lly8
Hosahore,Darling,Happy,https://www.youtube.com/watch?v=TbrZ468U9Zc
Neeve,Darling,Happy,https://www.youtube.com/watch?v=0Olv8zM_rps
Bulle,Darling,Happy,https://www.youtube.com/watch?v=TXeAjI0w1xo
Dum Dum Dum,Prema Kavali,Happy,https://www.youtube.com/watch?v=ZxvTZ2IyyIk
You Rock My World,Aarya,Happy,https://www.youtube.com/watch?v=KyLA6cyyHWw
Nuvvunte,Aarya,Happy,https://www.youtube.com/watch?v=Llw7cXHmDDo
Aa Ante Amalapuram,Aarya,Happy,https://www.youtube.com/watch?v=94AW2X8KH9Q
Ring Ringa,Arya-2,Happy,https://www.youtube.com/watch?v=2OhhFkF3MqQ
Marumallela Vaana,Solo,Happy,https://www.youtube.com/watch?v=1e6bbquJeTY
Ammamamamoo,Solo,Happy,https://www.youtube.com/watch?v=KKcD-PUAS9s
Pileche,Khaleja,Happy,https://www.youtube.com/watch?v=sGomZ4q881w
Makathika,Khaleja,Happy,https://www.youtube.com/watch?v=pEzrGYRRjbk
Hilesso Hilessa,Thandel,Happy,https://www.youtube.com/watch?v=Jq87evfwY9Q
Yegire Mabbullona,Happy,Happy,https://www.youtube.com/watch?v=X5q-8QSh_YU
I Hate You,Happy,Happy,https://www.youtube.com/watch?v=My42uq6LMDY
Dammare Damma,Vikramarkudu,Happy,https://www.youtube.com/watch?v=7NEyW39qpiQ
Jhum Jhum Maya,Vikramarkudu,Happy,https://www.youtube.com/watch?v=OpcGw9qfv14
Hey Aakasam,Bhadra,Happy,https://www.youtube.com/watch?v=dVVBIsYUUPM
Yemaindhi Saaru,Bhadra,Happy,https://www.youtube.com/watch?v=wJ7Ucuj0thA
Soodu Soodu,Loukhyam,Happy,https://www.youtube.com/watch?v=qfccVO2K5fM
Ninnu Chudagane,Loukhyam,Happy,https://www.youtube.com/watch?v=iyeEIifRpsY
Rooba Rooba,Orange,Happy,https://www.youtube.com/watch?v=hgQeo55s4So
Chilipiga Choosthavala,Orange,Happy,https://www.youtube.com/watch?v=Tii5DmFL_IA
Idedo Bagundhe,Mirchi,Happy,https://www.youtube.com/watch?v=VQ2-HPwxAZY
